year,biomass,Catch,Effort,Recruitment,SSB,YearRec,YearSSB,B0,B1
1,6.54788e+06,0,0,6.60753e+06,116462,6.60759e+06,116462,218665,205087
2,8.63938e+06,0,0,8.58675e+06,173984,8.58675e+06,173984,152341,149487
3,1.0821e+07,0,0,9.87776e+06,234640,9.87776e+06,234640,210054,205701
4,1.16529e+07,0,0,9.45764e+06,275661,9.45764e+06,275661,247695,242480
5,1.59846e+07,0,0,1.83381e+07,273111,1.83381e+07,273111,246742,241430
6,1.53408e+07,0,0,6.39066e+06,481791,6.39066e+06,481791,428653,420003
7,1.52745e+07,0,0,1.86145e+07,238940,1.86145e+07,238940,223349,217880
8,1.8968e+07,0,0,1.37669e+07,481040,1.37669e+07,481040,426907,418391
9,1.48979e+07,0,0,8.98151e+06,412834,8.98151e+06,412834,374989,366733
10,1.36509e+07,0,0,1.2928e+07,286276,1.2928e+07,286276,262455,256466
11,1.37465e+07,0,0,9.57833e+06,356101,9.57833e+06,356101,319424,312746
12,1.28575e+07,0,0,1.11083e+07,290675,1.11083e+07,290675,264554,258685
13,1.15414e+07,0,0,7.2539e+06,314272,7.2539e+06,314272,283087,277063
14,1.32854e+07,0,0,1.51725e+07,228091,1.51725e+07,228091,208670,203948
15,1.58486e+07,0,0,1.16667e+07,398634,1.16667e+07,398634,354723,347562
16,1.25714e+07,0,0,7.59562e+06,348061,7.59562e+06,348061,315934,308998
17,9.89333e+06,0,0,7.6037e+06,241940,7.6037e+06,241940,221783,216723
18,1.27228e+07,0,0,1.43241e+07,222644,1.43241e+07,222644,201661,197274
19,1.3218e+07,0,0,7.40482e+06,377948,7.40482e+06,377948,336522,329709
20,1.32802e+07,0,0,1.43519e+07,243779,1.43519e+07,243779,224343,219150
21,1.49036e+07,0,0,1.06065e+07,381920,1.06065e+07,381920,340625,333679
22,1.10064e+07,0,0,5.87137e+06,319898,5.87137e+06,319898,290849,284421
23,8.33567e+06,0,0,6.79585e+06,196138,6.79585e+06,196138,180963,176733
24,1.5095e+07,0,0,2.05259e+07,195217,2.05259e+07,195217,176321,172531
25,1.84837e+07,0,0,1.08451e+07,519247,1.08451e+07,519247,458910,449926
26,1.60068e+07,0,0,1.43595e+07,351247,1.43595e+07,351247,322472,315073
27,1.88584e+07,0,0,1.75896e+07,401436,1.75896e+07,401436,360971,353348
28,1.709e+07,0,0,9.60801e+06,487655,9.60801e+06,487655,437751,428570
29,1.06065e+07,0,0,5.28133e+06,315301,5.28133e+06,315301,290107,283393
30,8.24567e+06,0,0,7.39169e+06,180908,7.39169e+06,180908,167522,163553
31,1.08983e+07,0,0,1.1471e+07,206456,1.1471e+07,206456,185647,181727
32,1.09561e+07,0,0,6.40564e+06,307957,6.40564e+06,307957,274984,269346
33,1.05575e+07,0,0,1.07199e+07,207293,1.07199e+07,207293,190346,185976
34,1.73786e+07,0,0,2.03133e+07,289839,2.03133e+07,289839,259194,253849
35,1.9879e+07,0,0,1.30127e+07,531763,1.30127e+07,531763,472769,463261
36,1.18085e+07,0,0,3.16665e+06,404246,3.16665e+06,404246,369068,360776
37,1.02321e+07,0,0,1.3104e+07,147385,1.3104e+07,147385,141048,137314
38,1.87221e+07,0,0,2.07605e+07,334487,2.07605e+07,334487,296255,290401
39,2.81611e+07,0,0,2.87737e+07,550869,2.87737e+07,550869,490834,480870
40,2.3592e+07,0,0,7.85931e+06,779121,7.85931e+06,779121,696604,682241
41,1.66243e+07,0,0,1.67768e+07,327562,1.67768e+07,327562,309852,301950
42,1.58542e+07,0,0,8.89599e+06,452870,8.89599e+06,452870,405052,396688
43,1.41669e+07,0,0,1.3653e+07,292392,1.3653e+07,292392,269058,262831
44,1.44318e+07,0,0,1.0042e+07,374146,1.0042e+07,374146,335346,328359
45,1.2055e+07,0,0,8.75597e+06,304931,8.75597e+06,304931,277548,271388
46,9.85997e+06,0,0,6.55052e+06,261390,6.55052e+06,261390,237407,232183
47,7.78434e+06,0,0,5.41033e+06,201623,5.41033e+06,201623,183937,179817
48,1.08322e+07,0,0,1.35088e+07,163835,1.35088e+07,163835,149128,145820
49,1.81577e+07,0,0,1.89285e+07,347980,1.89285e+07,347980,308564,302434
50,1.50871e+07,0,0,4.4214e+06,510113,4.4214e+06,510113,455699,446338
